precipitation_sum,et0_fao_evapotranspiration,precipitation_hours,river_discharge,dewpoint_2m_max,soil_moisture_0_to_7cm,soil_moisture_28_to_100cm,rainfall_3d,rainfall_7d,humidity,is_monsoon,flood_risk
3.0,3.05,6.0,1.25,24.3,0.4744583333333333,0.490375,9.6,46.6,72.5,1,0
10.9,2.73,12.0,1.48,24.1,0.4764583333333334,0.488125,18.4,52.4,75.0,1,1
8.9,2.57,15.0,1.81,25.0,0.490125,0.4882083333333333,22.8,36.3,79.5,1,1
16.4,2.04,24.0,2.24,24.0,0.4789583333333333,0.4995,36.2,46.69999999999999,77.5,1,1
30.9,1.63,24.0,3.24,24.7,0.4674583333333333,0.511,56.2,76.69999999999999,81.5,1,1
19.3,1.51,16.0,2.87,24.2,0.4988333333333333,0.509625,66.6,93.9,84.5,1,1
1.1,3.39,5.0,2.13,23.6,0.4857083333333333,0.505625,51.3,90.5,72.00000000000001,1,0
3.7,2.84,7.0,1.8,24.3,0.4854583333333333,0.5019166666666667,24.1,91.2,76.5,1,0
8.5,2.78,15.0,1.92,24.0,0.4852083333333333,0.4992916666666667,13.3,88.8,73.0,1,1
15.0,1.97,15.0,2.18,24.4,0.476375,0.5039166666666667,27.200000000000003,94.9,86.0,1,1
2.8,3.07,9.0,1.89,23.9,0.4716666666666667,0.5065833333333333,26.3,81.3,74.5,1,0
1.3,3.41,2.0,1.62,23.7,0.4644166666666667,0.5017916666666666,19.1,51.69999999999999,75.0,1,0
2.5,3.13,7.0,1.42,23.6,0.4738333333333333,0.4978333333333333,6.6,34.89999999999999,72.5,1,0
4.0,3.66,7.0,1.34,23.7,0.4619166666666667,0.4944583333333333,7.8,37.79999999999999,70.49999999999999,1,0
11.5,3.24,16.0,1.67,24.8,0.4805416666666666,0.4917083333333333,18.0,45.6,76.5,1,1
11.4,3.07,17.0,1.81,24.4,0.4820833333333333,0.49275,26.9,48.5,73.5,1,1
2.0,4.06,6.0,1.59,25.6,0.4566666666666667,0.498125,24.9,35.5,71.5,1,0
5.9,3.77,8.0,1.5,24.8,0.470875,0.4954166666666666,19.3,38.6,70.5,1,0
31.2,3.07,14.0,2.52,24.9,0.4855416666666667,0.497125,39.1,68.5,72.99999999999999,1,1
20.5,2.41,11.0,3.11,24.7,0.4731666666666667,0.5111249999999999,57.6,86.5,81.5,1,1
5.9,2.93,7.0,2.5,25.4,0.4942916666666666,0.5083333333333333,57.6,88.39999999999999,83.99999999999999,1,0
4.6,2.86,11.0,1.99,23.7,0.4880833333333333,0.504375,31.0,81.5,72.5,1,0
4.0,1.98,9.0,1.73,23.3,0.4858333333333333,0.5016666666666666,14.499999999999996,74.1,81.0,1,0
8.8,2.37,9.0,1.91,23.6,0.4855833333333333,0.4997083333333333,17.4,80.89999999999999,75.5,1,1
112.8,0.78,22.0,13.66,23.8,0.476625,0.5124166666666666,125.6,187.8,95.0,1,2
71.1,1.43,21.0,10.67,24.3,0.4506666666666667,0.5149583333333333,192.7,227.7,89.0,1,2
2.9,2.32,14.0,6.36,24.2,0.4754166666666666,0.50675,186.8,210.1,78.5,1,0
16.9,1.4,19.0,4.93,24.6,0.4832916666666667,0.50225,90.9,221.1,85.5,1,1
13.6,2.07,14.0,4.36,24.4,0.4417916666666666,0.5102083333333334,33.4,230.1,81.0,1,1
4.3,2.91,14.0,3.93,24.0,0.4907916666666667,0.5054583333333333,34.8,230.4,74.5,1,0
2.2,2.28,8.0,3.24,23.2,0.493875,0.5014166666666667,20.1,223.8,81.5,1,0
0.0,3.84,0.0,2.78,22.5,0.4739583333333333,0.4969166666666667,6.5,111.0,68.5,1,0
0.0,4.01,0.0,2.49,22.0,0.4560833333333333,0.4913749999999999,2.2,39.9,64.0,1,0
0.2,3.73,2.0,2.28,23.5,0.4428749999999999,0.4854583333333333,0.2,37.2,72.5,1,0
1.0,3.41,4.0,2.15,24.4,0.4374166666666666,0.4797499999999999,1.2,21.3,74.5,1,0
7.9,2.59,13.0,2.15,24.4,0.461875,0.4746666666666666,9.1,15.6,78.5,1,0
0.3,3.94,3.0,2.01,23.1,0.465875,0.4698333333333333,9.2,11.6,67.5,1,0
0.0,4.2,0.0,1.84,22.2,0.4417916666666666,0.4648333333333334,8.200000000000001,9.4,63.5,1,0
1.3,3.45,5.0,1.94,21.8,0.4242916666666667,0.4600416666666667,1.6,10.7,65.5,1,0
12.8,1.19,20.0,2.3,23.3,0.492625,0.4562083333333333,14.1,23.5,90.5,1,1
51.3,0.78,23.0,3.76,22.8,0.4860833333333333,0.4715,65.4,74.6,97.0,1,2
0.0,4.55,0.0,3.06,21.5,0.4540833333333333,0.4966666666666666,64.1,73.6,56.99999999999999,1,0
0.0,4.68,0.0,2.24,21.7,0.441625,0.492375,51.3,65.69999999999999,55.0,1,0
0.0,4.41,0.0,1.82,20.5,0.4275833333333333,0.4875416666666667,0.0,65.39999999999999,51.5,1,0
0.1,4.32,1.0,1.59,21.4,0.415875,0.4825,0.1,65.49999999999999,56.49999999999999,1,0
0.0,4.67,0.0,1.44,20.5,0.4038333333333333,0.4774583333333333,0.1,64.19999999999999,50.0,1,0
0.0,4.53,0.0,1.32,21.5,0.3894583333333333,0.4722916666666666,0.1,51.39999999999999,53.5,1,0
0.0,4.8,0.0,1.22,20.9,0.3763749999999999,0.4672916666666666,0.0,0.0999999999999929,49.49999999999999,1,0
0.0,4.69,0.0,1.13,20.7,0.3634166666666666,0.4621666666666666,0.0,0.0999999999999929,46.99999999999999,1,0
0.0,4.9,0.0,1.06,19.6,0.3505833333333333,0.4572083333333334,0.0,0.0999999999999929,41.5,1,0
0.0,4.97,0.0,0.98,18.6,0.3382916666666666,0.4523333333333333,0.0,0.0999999999999929,38.00000000000001,1,0
0.0,5.02,0.0,0.91,18.7,0.32625,0.447625,0.0,0.0,40.49999999999999,0,0
0.0,4.63,0.0,0.85,20.4,0.3155416666666666,0.4430416666666667,0.0,0.0,47.5,0,0
0.0,4.63,0.0,0.78,20.6,0.306,0.4387916666666667,0.0,0.0,45.0,0,0
0.0,5.07,0.0,0.73,20.4,0.297125,0.4344583333333333,0.0,0.0,40.99999999999998,0,0
0.0,4.92,0.0,0.68,19.7,0.2885416666666666,0.4302916666666667,0.0,0.0,36.5,0,0
0.0,5.11,0.0,0.63,19.1,0.28125,0.42625,0.0,0.0,32.0,0,0
0.0,5.0,0.0,0.58,19.3,0.2738333333333334,0.4224166666666666,0.0,0.0,40.0,0,0
0.0,4.54,0.0,0.54,21.2,0.2677916666666667,0.4186249999999999,0.0,0.0,50.0,0,0
0.0,4.53,0.0,0.5,21.1,0.2622083333333333,0.415375,0.0,0.0,45.50000000000001,0,0
0.0,4.74,0.0,0.47,17.6,0.2569583333333333,0.4116249999999999,0.0,0.0,20.5,0,0
0.0,4.55,0.0,0.43,19.7,0.2514166666666667,0.4084583333333333,0.0,0.0,38.5,0,0
0.0,4.19,0.0,0.4,18.4,0.2494166666666666,0.4055416666666667,0.0,0.0,38.5,0,0
0.0,4.34,0.0,0.37,18.5,0.2462083333333333,0.4026666666666667,0.0,0.0,31.499999999999982,0,0
0.0,5.4,0.0,0.34,17.9,0.2429583333333333,0.399625,0.0,0.0,25.5,0,0
0.1,5.62,1.0,0.31,18.5,0.2396666666666666,0.396625,0.1,0.0999999999999929,31.00000000000001,0,0
0.2,4.7,1.0,0.31,21.1,0.23925,0.3940833333333333,0.3,0.2999999999999929,48.00000000000001,0,0
4.4,3.64,6.0,0.31,22.6,0.2703333333333333,0.392125,4.7,4.699999999999993,60.50000000000001,0,0
1.4,3.48,3.0,0.31,21.5,0.2842916666666666,0.3904583333333333,6.0,6.0999999999999925,53.00000000000001,0,0
5.1,3.47,6.0,0.37,22.5,0.301,0.3885416666666667,10.9,11.199999999999992,58.00000000000001,0,0
2.6,3.15,5.0,0.42,23.8,0.3484166666666666,0.3874166666666667,9.1,13.799999999999992,66.0,0,0
0.4,3.13,2.0,0.4,22.6,0.3650416666666666,0.3857083333333333,8.1,14.199999999999992,62.000000000000014,0,0
0.0,4.0,0.0,0.36,22.0,0.3495416666666666,0.38425,2.999999999999999,14.099999999999993,53.5,0,0
0.0,4.01,0.0,0.32,20.3,0.3305833333333333,0.3825,0.3999999999999991,13.899999999999991,42.000000000000014,0,0
